"id","created_at","name","has_test","alternate_url"
44350010,2021-06-12T10:06:40+0300,Data Scientist,false,https://hh.ru/vacancy/44350010
45191074,2021-06-12T15:50:44+0300,Data Scientist,false,https://hh.ru/vacancy/45191074
44865141,2021-06-12T11:49:33+0300,Data Scientist / Аналитик,false,https://hh.ru/vacancy/44865141
43825932,2021-06-14T09:56:04+0300,Junior Data Scientist,false,https://hh.ru/vacancy/43825932
44945427,2021-06-14T14:02:18+0300,Аналитик / Data scientist,false,https://hh.ru/vacancy/44945427
44945426,2021-06-14T14:02:18+0300,Аналитик / Data scientist,false,https://hh.ru/vacancy/44945426
45061824,2021-06-12T11:22:53+0300,Data Scientist,false,https://hh.ru/vacancy/45061824
45077656,2021-06-12T15:14:31+0300,Data Scientist / Machine Learning Engineer,false,https://hh.ru/vacancy/45077656
45420383,2021-06-12T16:26:10+0300,Аналитик данных (Data scientist),false,https://hh.ru/vacancy/45420383
45435575,2021-06-14T22:27:01+0300,Data Scientist,false,https://hh.ru/vacancy/45435575
44861536,2021-06-12T10:59:49+0300,Специалист Computer Vision (Senior Data Scientist),false,https://hh.ru/vacancy/44861536
45196738,2021-06-12T18:37:27+0300,Data Scientist,false,https://hh.ru/vacancy/45196738
44639179,2021-06-13T14:09:05+0300,Data Scientist,false,https://hh.ru/vacancy/44639179
45427494,2021-06-14T09:37:24+0300,Senior Data Scientist,false,https://hh.ru/vacancy/45427494
44959404,2021-06-14T20:50:47+0300,Risk Analyst/Data Scientist,false,https://hh.ru/vacancy/44959404
44966324,2021-06-12T08:24:34+0300,Senior Data Scientist / ML-engineer (NLP),false,https://hh.ru/vacancy/44966324
44483069,2021-06-12T15:24:56+0300,Data Scientist (Клиентский сервис),false,https://hh.ru/vacancy/44483069
44625530,2021-06-13T10:33:41+0300,Data Scientist,false,https://hh.ru/vacancy/44625530
44088438,2021-06-12T19:00:33+0300,Аналитик / Data scientist,false,https://hh.ru/vacancy/44088438
45415702,2021-06-11T18:26:07+0300,Senior/Middle Data Scientist/Machine Learning Engineer for Computer Vision (Berlin or Braunschweig),false,https://hh.ru/vacancy/45415702
